Date,Incident Narrative,Ground Truth
5/4/24,"For nine consecutive days, that is from around April 27 to May 6, the Sudan Armed Forces (SAF)  and the RSF have exchanged artillery shelling,  using Katyusha rockets and various shells, in Babanusa, West Kordofan. The fighting further destroyed the city that many residents had already left.
According to sources consulted by Sudan War Monitor, the SAF were inside the 22nd Infantry Division base, the last military installation of the Sudan Army’s control in West Kordofan, while the RSF troops fought from the outskirts of the city, sheltering  in residents’ homes and under trees to avoid aircraft bombardment. According to the Sudan War Monitor’s sources, the bombing damaged many civilians’ homes in which RSF fighters were sheltering. The neighborhoods of Al-Salam South, Al-Tarbiyah, Abu Ismail South, Al-Sahafa East, Al-Sahafa West, and the Babanusa Dairy Factory neighborhood were the places where homes were most completely and partially damaged. In addition, government institutions and facilities, such as the buildings of the Sudan Railway Authority (Western Region Headquarters), some schools, and water sources were also damaged.
On May 3rd, according to information received from the Babanusa Emergency Room, four members of the same family were killed as a result of the  violent artillery shelling carried out by the RSF on the Sudan Armed Forces who control the 22nd Infantry Division Headquarters. The family had sought refuge in the 22nd Infantry Division. As a reminder, Babanusa has been the theater of several violent clashes between the RSF and the Sudanese Army since 2023.
According to the same sources the shelling also, injured or killed a large number of livestock as well as fighters on both the RSF and SAF sides. At least, three RSF fighters and two Army soldiers of the Artillery Corps were killed. So, in total, besides the destruction of homes, there were at least  5 combattants and 4 civilians killed.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civilians,  Damage or destruction of civilian critical infrastructure"
5/4/24,"On Saturday, May 4th, Colonel al-Taj al-Tijani, commander of the RSF’s West Kordofan sector, threatened to enter the city of al-Fula, the capital of West Kordofan, and liberate it from the grip of the Western Kordofan governor, Adam Karshoum Nour al-Din who is blamed for supporting the SAF. This threat generated panic in the city and led some merchants and medical personnel to flee the city.","Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling)"
5/4/24,"On May 4th, the RSF reportedly targeted  the Sudanese Army positions in Al-Faw, Al Jazira (El Gezira) state with heavy artillery. The attack caused some casualities but failed to stop the Army which is advancing, trying according to sources consulted by Sudan Tribune to encircle « Al-Jazira State from three directions: south (Sennar axis), west (Al-Manaqil axis), and east (Al-Faw axis). »","Military operations (battle,  shelling)"
5/5/24,"On Sunday, May 5th ,Sudanese warplanes conducted airstrikes  targeting agricultural fields where RSF elements are reported located, near Shabarqa, a  critical RSF stronghold and strategic town that is located approximately 25 kilometres East of Wad Madani, El Gezira (aka Al Jazeera) state. Capturing Shabarqa, according to local sources, would open the path towards the Hantoub Bridge on the Blue Nile for the Army.","Military operations (battle,  shelling),  Indiscriminate use of weapons"
5/7/24,"Early in the morning of the May 7th, the Sudanese Army initiated an offensive and recaptured the Jabal al-Ain military camp,  in  the strategic city of Al-Obeid, capital of North Kordofan State. The camp , which  served as the primary training facility for the Fifth Infantry Division, had been controlled by the RSF since the beginning of the war.  Whereas the RSF claims to still control the camp, the army released  a video confirming their victory and reporting significant enemy casualties and logistical losses.","Military operations (battle,  shelling),  Movement of military,  paramilitary,  or other troops and equipment"
5/8/24,"The  Sudan Armed Forces conducted air strikes on RSF positions in Al-Rahad and Umm Rawaba, North Kordofan, for a second consecutive day, and  reportedly caused civilian casualties and significant property damage.","Military operations (battle,  shelling),  Indiscriminate use of weapons,  Willful killing of civilians"
5/8/24,"On May 8, the International Service for Human Rights denounced various forms of violence targeting civil society activists, lawyers, journalists, and humanitarian aid workers.  ""Dozens of activists and local volunteers were arrested, threatened and prosecuted in several states during the last few weeks. The states of Sennar, Algadaref, and River Nile are targeting activists who support local communities amid approaching famine. Lawyers, journalists, and local humanitarian workers were prevented from working, their homes were raided, and family members were detained or threatened.""",Violent crackdowns on protesters/opponents/civil rights abuse
5/9/24,"On May 9, Sudan Tribune reported that  the Rapid Support Forces (RSF) assassinated Osman Qismallah Ali Abbas, a medical assistant who has been volunteering  in a health center in  Barakat, near Wad Madani,  despite the RSF control of the locality.",Willful killing of civilians
5/9/24,"After three months of security incidents, including looting, harassment and obstructions, the Medecins Sans Frontieres teams suspended on May 9 their work at the Madani Teaching Hospital, ""the only functional hospital for the hundreds of thousands of people in dire need of medical assistance in the capital of Al Jazirah state, Sudan"".", Damage or destruction of civilian critical infrastructure
5/9/24,"On May 9, in Khartoum Bahri, the Resistance Committees reported to Sudan Tribune that there was a drone strike on the central market in the Shambat suburb, in Khartoum Bahri, killing at least two civilians.","Indiscriminate use of weapons,  Willful killing of civilians"
5/9/24,"On May 9,  Sudan Tribune reported that Salah Al-Tayeb Musa, the head of  the local branch of the Sudanese Congress Party (SCoP) in  Al-Qurashi, Al-Jazira State was reportedly assassinated by  the Military Intelligence. ",Willful killing of civilians
5/9/24,"On May 9, Sudan Tribune reported that the Rapid Support Forces (RSF) have kidnapped  Ali Bishara Mor Turk, a member of the Dar es Salaam Emergency Room, Block 1, in Um Badda locality, west of Omdurman, and taken him to an unknown destination. The RSF was reported to  control the majority of Um Badda, and to have looted and vandalized all main markets, causing severe food shortages. "," Kidnapping,  Damage or destruction,  looting,  or theft of cultural heritage"
5/9/24,"On May 9, in Khartoum Bahri, the Resistance Committees reported to Sudan Tribune  the deaths of Qais Younis Ali Rakiza and Talab Hamad al-Sayyid Babikir, who were tortured in RSF detention centres.","Willful killing of civilians,  Torture or indications of torture"
5/10/24,"On Friday, May 10, in North Kordofan, three people were killed in an RSF attack in Jebel El Dayer during Friday prayers. “The victims had stayed in the village to protect their homes after most residents were displaced to South Kordofan and White Nile state” , according to a resident who spoke with Radio Dabanga.", Willful killing of civilians
5/10/24,"On Friday, May 10, there was heavy fighting in El Fasher, North Darfur between the RSF and the SAF who are supported by the Joint Force of Armed Struggle Movements. The two parties accused each other of initiating the attack and issued contradictory statements, each claiming to have inflicted heavy losses on the enemy. Sources (field commanders and eyewitnesses) consulted by Sudan Tribune reported the following: i) intense fighting with various types of weaponry in the neighborhoods of Al-Manhal School, Al-Borsa, Al-Kahraba, Al-Safa, Al-Jeel, and Factories; ii) numerous casualties, including civilian deaths and injuries. According to UNOCHA, unconfirmed reports indicated on May 12 that the fighting had left at least 27 civilians dead and 130 injured.","Indiscriminate use of weapons,  Willful killing of civilians,  Military operations (battle,  shelling)"
